team,player_name,position,caps,club,overall,pace,shooting,passing,dribbling,defending,physic,preferred_foot,total_goals,total_assists,total_minutes,market_value_in_eur,photo_url
Mexico,Carlos Acevedo,GK,7,,78.0,40.0,27.0,46.0,31.0,25.0,65.0,Right,1.0,7.0,10628.0,2000000.0,https://ui-avatars.com/api/?name=Carlos%20Acevedo&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Guillermo Ochoa,GK,152,,78.0,48.0,21.0,49.0,32.0,24.0,76.0,Right,0.0,1.0,23695.0,300000.0,https://ui-avatars.com/api/?name=Guillermo%20Ochoa&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Armando González,FWD,7,,80.0,85.0,76.0,70.0,79.0,42.0,75.0,Right,0.0,0.0,65.0,50000.0,https://ui-avatars.com/api/?name=Armando%20Gonz%C3%A1lez&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Israel Reyes,DEF,34,,79.0,70.0,54.0,66.0,51.0,72.0,83.0,Right,19.0,33.0,8988.0,300000.0,https://ui-avatars.com/api/?name=Israel%20Reyes&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Julián Quiñones,FWD,22,,81.0,76.0,72.0,63.0,80.0,27.0,76.0,Right,,,,,https://ui-avatars.com/api/?name=Juli%C3%A1n%20Qui%C3%B1ones&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Orbelín Pineda,MID,92,,72.0,77.0,76.0,65.0,75.0,69.0,70.0,Right,16.0,11.0,9270.0,7000000.0,https://ui-avatars.com/api/?name=Orbel%C3%ADn%20Pineda&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Obed Vargas,MID,6,,70.0,65.0,58.0,70.0,75.0,69.0,62.0,Right,0.0,1.0,927.0,8000000.0,https://ui-avatars.com/api/?name=Obed%20Vargas&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Gilberto Mora,MID,8,,78.0,60.0,72.0,78.0,69.0,51.0,62.0,Right,1.0,0.0,1335.0,500000.0,https://ui-avatars.com/api/?name=Gilberto%20Mora&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Mateo Chávez,DEF,10,,78.0,58.0,35.0,53.0,50.0,76.0,73.0,Right,1.0,2.0,1135.0,4000000.0,https://ui-avatars.com/api/?name=Mateo%20Ch%C3%A1vez&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,César Huerta,FWD,26,,77.0,79.0,74.0,57.0,72.0,25.0,73.0,Right,3.0,2.0,1352.0,5000000.0,https://ui-avatars.com/api/?name=C%C3%A9sar%20Huerta&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Guillermo Martínez,FWD,12,,87.0,50.0,30.0,55.0,40.0,25.0,78.0,Right,17.0,5.0,19519.0,3000000.0,https://ui-avatars.com/api/?name=Guillermo%20Mart%C3%ADnez&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Jesús Gallardo,DEF,121,,81.0,81.0,53.0,71.0,63.0,77.0,75.0,Right,,,,,https://ui-avatars.com/api/?name=Jes%C3%BAs%20Gallardo&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Luis Chávez,MID,45,,72.0,79.0,62.0,66.0,72.0,50.0,74.0,Right,7.0,6.0,4216.0,7000000.0,https://ui-avatars.com/api/?name=Luis%20Ch%C3%A1vez&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Roberto Alvarado,FWD,67,,70.0,76.0,79.0,70.0,74.0,28.0,60.0,Right,0.0,0.0,20639.0,500000.0,https://ui-avatars.com/api/?name=Roberto%20Alvarado&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Brian Gutiérrez,MID,7,,70.0,74.0,66.0,78.0,72.0,55.0,62.0,Right,2.0,7.0,9942.0,175000.0,https://ui-avatars.com/api/?name=Brian%20Guti%C3%A9rrez&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Ronwen Williams,GK,62,,83.0,93.0,74.0,76.0,86.0,35.0,68.0,Right,0.0,0.0,917.0,25000.0,https://ui-avatars.com/api/?name=Ronwen%20Williams&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Thabang Matuludi,DEF,3,,79.0,63.0,39.0,66.0,63.0,76.0,84.0,Right,,,,,https://ui-avatars.com/api/?name=Thabang%20Matuludi&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Khulumani Ndamane,DEF,5,,70.0,55.0,54.0,70.0,50.0,74.0,71.0,Right,,,,,https://ui-avatars.com/api/?name=Khulumani%20Ndamane&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Teboho Mokoena,MID,51,,76.0,67.0,76.0,67.0,75.0,63.0,77.0,Right,,,,,https://ui-avatars.com/api/?name=Teboho%20Mokoena&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Thalente Mbatha,MID,15,,73.0,80.0,56.0,74.0,69.0,75.0,76.0,Right,,,,,https://ui-avatars.com/api/?name=Thalente%20Mbatha&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Aubrey Modiba,DEF,44,,75.0,55.0,43.0,60.0,65.0,78.0,82.0,Right,,,,,https://ui-avatars.com/api/?name=Aubrey%20Modiba&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Oswin Appollis,FWD,26,,77.0,74.0,69.0,67.0,83.0,31.0,61.0,Right,,,,,https://ui-avatars.com/api/?name=Oswin%20Appollis&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Tshepang Moremi,FWD,10,,71.0,72.0,75.0,68.0,85.0,36.0,76.0,Right,,,,,https://ui-avatars.com/api/?name=Tshepang%20Moremi&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Lyle Foster,FWD,27,,74.0,86.0,79.0,56.0,73.0,41.0,77.0,Right,17.0,12.0,6387.0,10000000.0,https://ui-avatars.com/api/?name=Lyle%20Foster&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Relebohile Mofokeng,FWD,13,,77.0,77.0,82.0,65.0,83.0,29.0,58.0,Right,,,,,https://ui-avatars.com/api/?name=Relebohile%20Mofokeng&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Themba Zwane,MID,54,,75.0,78.0,66.0,76.0,72.0,56.0,63.0,Right,,,,,https://ui-avatars.com/api/?name=Themba%20Zwane&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Thapelo Maseko,FWD,10,,73.0,84.0,83.0,74.0,85.0,39.0,60.0,Right,,,,,https://ui-avatars.com/api/?name=Thapelo%20Maseko&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Sphephelo Sithole,MID,28,,74.0,65.0,74.0,80.0,80.0,67.0,69.0,Right,,,,,https://ui-avatars.com/api/?name=Sphephelo%20Sithole&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Mbekezeli Mbokazi,DEF,10,,70.0,71.0,53.0,54.0,58.0,83.0,74.0,Right,,,,,https://ui-avatars.com/api/?name=Mbekezeli%20Mbokazi&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Iqraam Rayners,FWD,14,,68.0,72.0,82.0,56.0,85.0,40.0,65.0,Right,,,,,https://ui-avatars.com/api/?name=Iqraam%20Rayners&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Sipho Chaine,GK,4,,72.0,40.0,32.0,46.0,44.0,22.0,70.0,Right,,,,,https://ui-avatars.com/api/?name=Sipho%20Chaine&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Evidence Makgopa,FWD,26,,74.0,74.0,79.0,70.0,74.0,29.0,71.0,Right,,,,,https://ui-avatars.com/api/?name=Evidence%20Makgopa&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Samukele Kabini,DEF,6,,79.0,59.0,49.0,66.0,63.0,75.0,74.0,Right,23.0,15.0,12906.0,2000000.0,https://ui-avatars.com/api/?name=Samukele%20Kabini&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Nkosinathi Sibisi,DEF,20,,79.0,70.0,50.0,70.0,56.0,75.0,70.0,Right,,,,,https://ui-avatars.com/api/?name=Nkosinathi%20Sibisi&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Khuliso Mudau,DEF,32,,72.0,77.0,44.0,71.0,54.0,75.0,71.0,Right,,,,,https://ui-avatars.com/api/?name=Khuliso%20Mudau&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Ime Okon,DEF,8,,71.0,64.0,53.0,50.0,54.0,84.0,73.0,Right,,,,,https://ui-avatars.com/api/?name=Ime%20Okon&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Ricardo Goss,GK,5,,75.0,46.0,21.0,56.0,41.0,21.0,72.0,Right,0.0,0.0,15.0,100000.0,https://ui-avatars.com/api/?name=Ricardo%20Goss&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Jayden Adams,MID,5,,76.0,74.0,58.0,72.0,72.0,78.0,76.0,Right,2.0,4.0,9356.0,20000000.0,https://ui-avatars.com/api/?name=Jayden%20Adams&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Olwethu Makhanya,DEF,1,,79.0,72.0,37.0,50.0,50.0,84.0,72.0,Right,,,,,https://ui-avatars.com/api/?name=Olwethu%20Makhanya&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Kamogelo Sebelebele,FWD,3,,78.0,76.0,79.0,57.0,72.0,25.0,65.0,Right,,,,,https://ui-avatars.com/api/?name=Kamogelo%20Sebelebele&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Africa,Bradley Cross,DEF,1,,77.0,65.0,46.0,62.0,61.0,73.0,82.0,Right,,,,,https://ui-avatars.com/api/?name=Bradley%20Cross&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Kim Seung-gyu,GK,87,,72.0,41.0,22.0,56.0,39.0,25.0,77.0,Right,0.0,0.0,43.0,50000.0,https://ui-avatars.com/api/?name=Kim%20Seung-gyu&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Lee Han-beom,DEF,8,,79.0,64.0,36.0,68.0,58.0,78.0,73.0,Right,3.0,7.0,3513.0,1800000.0,https://ui-avatars.com/api/?name=Lee%20Han-beom&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Lee Gi-hyuk,MID,3,,79.0,78.0,72.0,77.0,78.0,73.0,63.0,Right,,,,,https://ui-avatars.com/api/?name=Lee%20Gi-hyuk&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Kim Min-jae,DEF,79,,85.0,76.0,42.0,58.0,55.0,86.0,84.0,Right,8.0,5.0,15501.0,25000000.0,https://ui-avatars.com/api/?name=Kim%20Min-jae&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Kim Tae-hyeon,DEF,7,,78.0,75.0,38.0,59.0,54.0,80.0,77.0,Right,0.0,0.0,43.0,50000.0,https://ui-avatars.com/api/?name=Kim%20Tae-hyeon&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Hwang In-beom,MID,73,,72.0,74.0,57.0,80.0,71.0,67.0,76.0,Right,12.0,17.0,7877.0,8000000.0,https://ui-avatars.com/api/?name=Hwang%20In-beom&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Son Heung-min,FWD,144,,87.0,86.0,86.0,82.0,86.0,42.0,68.0,Right,208.0,112.0,40191.0,17000000.0,https://ui-avatars.com/api/?name=Son%20Heung-min&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Paik Seung-ho,MID,27,,76.0,81.0,77.0,69.0,79.0,66.0,72.0,Right,0.0,0.0,158.0,2500000.0,https://ui-avatars.com/api/?name=Paik%20Seung-ho&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Cho Gue-sung,FWD,44,,76.0,74.0,76.0,71.0,72.0,40.0,70.0,Right,18.0,2.0,4064.0,3000000.0,https://ui-avatars.com/api/?name=Cho%20Gue-sung&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Lee Jae-sung,MID,105,,80.0,76.0,71.0,68.0,79.0,58.0,78.0,Right,29.0,22.0,11133.0,2000000.0,https://ui-avatars.com/api/?name=Lee%20Jae-sung&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Hwang Hee-chan,MID,79,,81.0,66.0,61.0,78.0,82.0,69.0,78.0,Right,30.0,14.0,8526.0,8000000.0,https://ui-avatars.com/api/?name=Hwang%20Hee-chan&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Song Bum-keun,GK,3,,79.0,54.0,24.0,44.0,32.0,26.0,68.0,Right,1.0,1.0,3564.0,1000000.0,https://ui-avatars.com/api/?name=Song%20Bum-keun&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Lee Tae-seok,DEF,15,,80.0,75.0,38.0,70.0,65.0,80.0,76.0,Right,2.0,2.0,4074.0,225000.0,https://ui-avatars.com/api/?name=Lee%20Tae-seok&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Cho Wi-je,DEF,1,,74.0,64.0,41.0,63.0,54.0,74.0,76.0,Right,16.0,15.0,8042.0,15000000.0,https://ui-avatars.com/api/?name=Cho%20Wi-je&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Kim Moon-hwan,DEF,35,,80.0,65.0,52.0,64.0,61.0,80.0,79.0,Right,0.0,0.0,43.0,50000.0,https://ui-avatars.com/api/?name=Kim%20Moon-hwan&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Park Jin-seob,DEF,14,,79.0,66.0,51.0,55.0,56.0,84.0,77.0,Right,,,,,https://ui-avatars.com/api/?name=Park%20Jin-seob&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Bae Jun-ho,MID,13,,79.0,66.0,72.0,66.0,72.0,54.0,65.0,Right,1.0,0.0,130.0,3000000.0,https://ui-avatars.com/api/?name=Bae%20Jun-ho&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Oh Hyeon-gyu,FWD,27,,72.0,79.0,83.0,67.0,72.0,41.0,64.0,Right,31.0,8.0,4446.0,15000000.0,https://ui-avatars.com/api/?name=Oh%20Hyeon-gyu&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Lee Kang-in,MID,47,,78.0,70.0,58.0,68.0,73.0,77.0,78.0,Right,26.0,30.0,13226.0,28000000.0,https://ui-avatars.com/api/?name=Lee%20Kang-in&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Yang Hyun-jun,MID,9,,81.0,79.0,61.0,74.0,77.0,68.0,66.0,Right,14.0,11.0,4892.0,5000000.0,https://ui-avatars.com/api/?name=Yang%20Hyun-jun&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Jo Hyeon-woo,GK,48,,72.0,52.0,32.0,57.0,41.0,27.0,68.0,Right,0.0,0.0,1.0,100000.0,https://ui-avatars.com/api/?name=Jo%20Hyeon-woo&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Seol Young-woo,DEF,34,,81.0,62.0,43.0,56.0,50.0,74.0,82.0,Right,0.0,4.0,2212.0,5000000.0,https://ui-avatars.com/api/?name=Seol%20Young-woo&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Jens Castrop,DEF,7,,81.0,79.0,51.0,50.0,55.0,76.0,75.0,Right,3.0,1.0,1618.0,6000000.0,https://ui-avatars.com/api/?name=Jens%20Castrop&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Kim Jin-gyu,MID,22,,79.0,69.0,67.0,77.0,80.0,64.0,75.0,Right,0.0,0.0,43.0,50000.0,https://ui-avatars.com/api/?name=Kim%20Jin-gyu&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Eom Ji-sung,MID,9,,75.0,78.0,65.0,69.0,71.0,52.0,78.0,Right,1.0,1.0,260.0,1400000.0,https://ui-avatars.com/api/?name=Eom%20Ji-sung&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
South Korea,Lee Dong-gyeong,MID,18,,73.0,75.0,69.0,73.0,68.0,63.0,74.0,Right,2.0,2.0,4074.0,225000.0,https://ui-avatars.com/api/?name=Lee%20Dong-gyeong&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Bosnia and Herzegovina,Nikola Vasilj,GK,26,,68.0,44.0,25.0,42.0,36.0,26.0,75.0,Right,0.0,0.0,8387.0,4500000.0,https://ui-avatars.com/api/?name=Nikola%20Vasilj&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Bosnia and Herzegovina,Nihad Mujakić,DEF,12,,79.0,64.0,50.0,57.0,55.0,83.0,77.0,Right,2.0,2.0,9306.0,1200000.0,https://ui-avatars.com/api/?name=Nihad%20Mujaki%C4%87&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
