team,squad_size,team_avg_overall,team_avg_shooting,team_avg_passing,team_avg_defending,team_avg_pace,team_avg_dribbling,team_avg_physic,team_star_rating,team_gk_rating,team_depth_score
Honduras,27,74.03703703703704,57.22222222222222,63.44444444444444,52.370370370370374,72.18518518518519,66.74074074074075,72.81481481481481,81,72.66666666666667,3.131496097118406
Indonesia,26,75.76923076923077,55.92307692307692,62.42307692307692,58.96153846153846,67.34615384615384,65.15384615384616,74.6923076923077,80,73.66666666666667,3.1152231677065103
Iran,26,74.5,60.0,64.6923076923077,52.76923076923077,69.46153846153847,64.73076923076923,70.6923076923077,82,75.0,4.159326868617084
Italy,26,76.8076923076923,56.11538461538461,64.8076923076923,55.80769230769231,70.42307692307692,66.92307692307692,73.61538461538461,87,78.0,4.578377273831686
Ivory Coast,26,75.65384615384616,59.11538461538461,61.96153846153846,52.84615384615385,71.73076923076923,67.6923076923077,72.0,80,73.66666666666667,2.7704484502305062
Japan,27,75.25925925925925,58.18518518518518,61.074074074074076,51.148148148148145,68.33333333333333,69.03703703703704,70.74074074074075,81,73.33333333333333,3.1573186359094274
Mexico,27,75.96296296296296,57.592592592592595,63.592592592592595,56.2962962962963,69.14814814814815,65.81481481481481,72.03703703703704,82,74.0,4.0618438545290605
Morocco,26,76.6923076923077,59.80769230769231,64.23076923076923,54.53846153846154,71.61538461538461,69.26923076923077,71.61538461538461,85,77.66666666666667,4.315268063694127
Netherlands,26,76.96153846153847,58.26923076923077,65.11538461538461,54.92307692307692,70.42307692307692,67.57692307692308,71.23076923076923,88,71.66666666666667,5.429407107453035
New Zealand,26,74.76923076923077,58.53846153846154,61.57692307692308,53.5,68.96153846153847,67.65384615384616,72.73076923076923,81,73.0,3.2900783249970487
Nigeria,26,75.73076923076923,59.61538461538461,65.07692307692308,50.96153846153846,69.96153846153847,66.15384615384616,73.1923076923077,87,69.33333333333333,4.556820754058183
Panama,28,76.0,59.714285714285715,63.464285714285715,52.892857142857146,71.28571428571429,67.92857142857143,74.17857142857143,81,74.66666666666667,3.27730693416725
Paraguay,26,75.73076923076923,57.96153846153846,66.6923076923077,52.30769230769231,69.6923076923077,67.57692307692308,68.88461538461539,81,72.66666666666667,3.5615467685565196
Peru,26,76.11538461538461,58.80769230769231,63.30769230769231,53.84615384615385,70.3076923076923,67.03846153846153,72.61538461538461,81,75.33333333333333,3.216543773393088
Portugal,26,78.5,59.57692307692308,65.96153846153847,56.80769230769231,70.42307692307692,67.84615384615384,74.0,87,77.66666666666667,5.285830114561004
Qatar,26,76.03846153846153,59.19230769230769,63.0,55.65384615384615,69.23076923076923,66.42307692307692,71.73076923076923,81,72.66666666666667,3.446514404215009
Saudi Arabia,26,74.76923076923077,56.38461538461539,63.73076923076923,52.46153846153846,69.96153846153847,65.42307692307692,71.15384615384616,81,73.33333333333333,3.350315714170141
Scotland,26,76.26923076923077,59.0,64.3076923076923,55.61538461538461,70.57692307692308,67.96153846153847,73.38461538461539,83,73.33333333333333,4.074876118928695
Senegal,26,75.88461538461539,58.23076923076923,64.34615384615384,55.38461538461539,70.73076923076923,66.5,73.92307692307692,82,76.33333333333333,3.7021823086058103
Serbia,26,76.8076923076923,62.23076923076923,66.65384615384616,54.19230769230769,70.53846153846153,66.65384615384616,71.07692307692308,84,73.33333333333333,4.3544848675289325
South Korea,26,76.53846153846153,58.57692307692308,64.96153846153847,54.34615384615385,69.8076923076923,67.07692307692308,72.23076923076923,87,73.66666666666667,4.263620707621814
Spain,26,79.26923076923077,61.53846153846154,67.53846153846153,54.30769230769231,70.38461538461539,71.84615384615384,71.07692307692308,91,79.0,5.095548585247263
Switzerland,27,76.62962962962963,58.74074074074074,63.44444444444444,52.074074074074076,70.11111111111111,65.70370370370371,72.22222222222223,84,74.66666666666667,3.894257588455361
Tunisia,26,75.34615384615384,57.19230769230769,65.88461538461539,56.0,70.38461538461539,65.46153846153847,68.92307692307692,80,75.0,3.58822861804883
Ukraine,26,75.8076923076923,58.26923076923077,64.1923076923077,55.88461538461539,70.76923076923077,67.53846153846153,70.42307692307692,83,72.0,3.8680147959306543
United States,26,76.3076923076923,58.73076923076923,62.96153846153846,51.46153846153846,71.26923076923077,68.3076923076923,73.1923076923077,82,75.33333333333333,3.739189546083277
Uruguay,26,77.34615384615384,58.73076923076923,63.96153846153846,53.46153846153846,71.5,67.11538461538461,72.15384615384616,87,73.33333333333333,4.417622054384532
